Date,Open,High,Low,Close,BuyWeightingRule,SellWeightingRule,P2L_Ratio,P2L_RatioPositive,P2L_RatioNegative,P2L_RatioNeutral,RangeVariance
2018-10-30,0.285773,0.298919,-0.623833,-0.244105,1.000000,0.000000,-0.616406,0.000000,0.616406,1.000000,4.228007
2018-10-31,0.645800,1.055536,0.519079,0.797266,0.000000,0.000000,-0.739851,0.000000,0.739851,0.000000,4.201395
2018-11-01,-0.139440,0.639339,-0.155684,0.105109,0.000000,10.000000,-10.759815,0.000000,10.759815,0.000000,4.202926
2018-11-02,0.822456,1.085075,0.246644,0.247233,0.000000,0.000000,-1.852996,0.000000,1.852996,0.000000,3.919948
2018-11-05,0.016763,0.185600,-0.199755,-0.120608,0.000000,0.000000,-1.489367,0.000000,1.489367,0.000000,3.961896
2018-11-06,0.119596,0.172925,-0.301075,-0.054723,0.000000,1.000000,-2.751463,0.000000,2.751463,0.000000,3.996274
2018-11-07,0.306745,0.799234,0.254956,0.503325,0.000000,10.000000,-10.737484,0.000000,10.737484,0.000000,4.001057
2018-11-08,0.268510,0.374998,-0.407547,-0.278620,0.000000,1.000000,-2.554806,0.000000,2.554806,0.000000,5.240213
2018-11-09,-0.207891,0.118526,-0.594128,0.010031,0.000000,1.000000,-2.620768,0.000000,2.620768,0.000000,5.259228
2018-11-12,0.329435,0.365951,-1.152687,-1.075007,0.000000,0.000000,-1.660695,0.000000,1.660695,0.000000,6.073517
2018-11-13,0.257705,0.901467,0.129726,0.777190,0.000000,0.000000,-1.596886,0.000000,1.596886,0.000000,6.066985
2018-11-14,-0.402279,0.491078,-0.818479,-0.309951,0.000000,0.000000,-1.569142,0.000000,1.569142,0.000000,5.999865
2018-11-15,0.181429,0.452833,-0.809841,-0.302439,0.000000,0.000000,-1.396489,0.000000,1.396489,0.000000,5.940148
2018-11-16,0.361631,0.475740,-0.603940,-0.063522,0.000000,0.000000,-1.241284,0.000000,1.241284,0.000000,5.904283
2018-11-19,0.215175,0.393070,-0.547497,-0.482693,0.000000,0.000000,-0.035114,0.000000,0.035114,1.000000,5.888850
2018-11-20,-0.441491,-0.291550,-1.195522,-0.905088,1.000000,0.000000,-0.237816,0.000000,0.237816,1.000000,5.840707
2018-11-21,0.368173,0.981010,0.240510,0.911003,0.000000,0.000000,-0.443145,0.000000,0.443145,1.000000,5.824463
